,Estado,Cidade,Valor_aluguel,Valor_condomínio,Valor_iptu,Área_total,Qt_quartos,Qt_vagas,Qt_banheiros,Academia,Acesso_para_deficientes,Ar_condicionado,Área_de_serviço,Armário_embutido,Armário_na_cozinha,Bicicletário,Churrasqueira,Circuito_de_segurança,Conexão_à_internet,Elevador,Espaço_gourmet,Garagem,Interfone,Lavanderia,Mobiliado,Piscina,Playground,Quadra_de_tênis,Quadra_poliesportiva,Salão_de_festas,Sauna,Segurança_24h,Sistema_de_alarme,Spa,Varanda
7984,go,goiania,750.0,350.0,0.0,97.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
9310,ba,salvador,1600.0,600.0,0.0,60.0,2.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
3490,mt,cuiaba,2700.0,1100.0,0.0,152.0,3.0,2.0,1.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14231,pr,curitiba,2700.0,520.0,92.0,92.0,3.0,1.0,3.0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18378,pb,joao-pessoa,2117.0,0.0,0.0,67.0,2.0,2.0,3.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
10568,sc,florianopolis,2600.0,400.0,161.0,103.0,2.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1342,mg,belo horizonte,1500.0,714.0,166.0,80.0,2.0,1.0,2.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8512,go,goiania,800.0,0.0,0.0,46.0,1.0,1.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619,mg,belo horizonte,740.0,265.0,80.0,59.0,2.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5287,sp,sao-paulo,6800.0,1600.0,635.0,124.0,1.0,2.0,3.0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
18444,pb,joao-pessoa,8000.0,0.0,0.0,750.0,4.0,6.0,5.0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7041,rj,rio-de-janeiro,2040.0,765.0,74.0,81.0,3.0,0.0,1.0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2219,ms,campo-grande,900.0,700.0,212.0,94.0,2.0,3.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1
9865,ba,salvador,4480.0,1050.0,270.0,112.0,3.0,2.0,2.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1
16644,pe,recife,2100.0,0.0,0.0,85.0,3.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
19041,rn,natal,1600.0,0.0,0.0,36.0,1.0,1.0,1.0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0
12977,rs,porto-alegre,3300.0,530.0,0.0,92.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14594,pr,curitiba,1450.0,380.0,60.0,61.0,2.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
18410,pb,joao-pessoa,2100.0,0.0,0.0,63.0,2.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6988,rj,rio-de-janeiro,2300.0,620.0,291.0,103.0,3.0,2.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
